heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,3,3,2026,4.0,20.0,25.0,11.471,19.04,21.904,0.1095,0.136,0.104,0.713,0.0,0.0,5.282,0,0.1674,0.1032
1,3,3,2026,4.0,20.0,25.0,10.675,19.749,0.0,0.0386,0.0,0.1,0.086,0.0,0.0,5.086,0,0.1458,0.086
2,3,3,2026,4.0,20.0,25.0,9.29,20.177,0.0,0.1578,0.0,0.1,0.508,0.0,0.0,4.446,0,0.1601,0.1002
3,3,3,2026,4.0,20.0,25.0,8.564,19.861,22.42,0.0401,0.213,0.1,0.003,0.0,0.0,4.55,0,0.2206,0.1357
4,3,3,2026,4.0,20.0,25.0,7.006,19.98,0.0,0.0,0.0,0.101,0.088,0.0,0.0,4.351,0,0.1951,0.1093
5,3,3,2026,4.0,20.0,25.0,8.88,19.47,11.761,0.1916,0.0,0.1,0.39,0.0,0.0,3.835,0,0.2377,0.1429
6,3,3,2026,4.0,20.0,25.0,8.012,21.079,0.0,0.3402,0.105,0.213,0.499,0.0,0.0,3.197,0,0.2266,0.129
7,3,3,2026,4.0,20.0,25.0,7.744,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,1.841,0,0.2025,0.1192
8,3,3,2026,4.0,20.0,25.0,6.951,20.462,40.324,1.0,0.195,0.86,1.981,0.897,0.0,0.0,0,0.2212,0.1329
9,3,3,2026,4.0,20.0,25.0,8.959,21.803,44.872,0.8033,0.195,0.573,1.58,1.958,0.0,0.0,1,0.2196,0.1403
10,3,3,2026,4.0,20.0,25.0,10.66,21.376,232.154,0.5788,1.521,1.528,1.006,1.013,0.0,0.0,0,0.2126,0.117
11,3,3,2026,4.0,20.0,25.0,11.315,21.613,342.144,0.3289,1.998,1.911,0.994,0.907,0.0,0.0,0,0.2199,0.1302
12,3,3,2026,4.0,20.0,25.0,13.111,21.463,514.831,0.1712,3.073,0.98,0.501,0.0,0.0,1.511,0,0.2114,0.1302
13,3,3,2026,4.0,20.0,25.0,15.65,22.055,507.613,0.1152,3.226,1.06,0.729,0.0,0.0,2.876,0,0.2138,0.1316
14,3,3,2026,4.0,20.0,25.0,16.441,22.212,533.788,0.3351,3.221,1.147,0.459,0.0,0.0,4.411,0,0.2196,0.136
15,3,3,2026,4.0,20.0,25.0,17.919,22.572,500.489,0.2253,2.953,0.1,1.148,0.0,0.0,6.031,0,0.2189,0.1264
16,3,3,2026,4.0,20.0,25.0,18.069,22.194,413.13,0.2455,2.281,1.292,0.542,0.0,0.0,6.455,0,0.2175,0.1299
17,3,3,2026,4.0,20.0,25.0,18.71,21.771,286.396,0.6809,1.722,1.342,1.038,0.0,0.0,5.763,0,0.2177,0.1283
18,3,3,2026,4.0,20.0,25.0,17.348,21.779,113.888,0.8859,0.675,1.345,1.389,0.0,0.0,3.596,0,0.179,0.1139
19,3,3,2026,4.0,20.0,25.0,15.852,21.081,9.67,0.761,0.0,1.443,1.589,0.0,0.0,0.404,0,0.1772,0.1056
20,3,3,2026,4.0,20.0,25.0,15.976,20.606,35.992,0.6522,0.309,1.343,1.41,2.061,0.0,0.0,1,0.1575,0.0946
21,3,3,2026,4.0,20.0,25.0,13.592,21.208,73.362,0.5331,0.311,0.113,1.201,1.003,0.0,0.0,0,0.1619,0.0981
22,3,3,2026,4.0,20.0,25.0,12.302,20.63,0.0,0.4415,0.0,0.1,1.013,1.113,0.0,0.0,0,0.1841,0.1039
23,3,3,2026,4.0,20.0,25.0,12.856,20.302,0.0,0.2095,0.0,2.033,0.295,2.328,0.0,0.0,1,0.1851,0.1137
