heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,5,3,2026,4.0,20.0,25.0,11.071,19.04,21.904,0.1095,0.136,0.1,0.713,0.0,0.0,5.287,0,0.1674,0.1032
1,5,3,2026,4.0,20.0,25.0,11.175,19.749,0.0,0.0386,0.0,0.1,0.086,0.0,0.0,5.091,0,0.1458,0.086
2,5,3,2026,4.0,20.0,25.0,9.49,20.177,0.0,0.1578,0.0,0.1,0.508,0.0,0.0,4.451,0,0.1601,0.1002
3,5,3,2026,4.0,20.0,25.0,8.664,19.861,22.42,0.0401,0.213,0.1,0.003,0.0,0.0,4.555,0,0.2206,0.1357
4,5,3,2026,4.0,20.0,25.0,7.606,19.98,0.0,0.0,0.0,0.1,0.088,0.0,0.0,4.357,0,0.1951,0.1093
5,5,3,2026,4.0,20.0,25.0,9.28,19.47,11.761,0.1916,0.0,0.1,0.39,0.0,0.0,3.841,0,0.2377,0.1429
6,5,3,2026,4.0,20.0,25.0,8.312,21.079,0.0,0.3402,0.105,0.209,0.499,0.0,0.0,3.207,0,0.2266,0.129
7,5,3,2026,4.0,20.0,25.0,8.144,20.701,0.0,0.6991,0.099,0.1,1.286,0.0,0.0,1.851,0,0.2025,0.1192
8,5,3,2026,4.0,20.0,25.0,7.151,20.462,43.024,1.0,0.212,0.77,1.981,0.781,0.0,0.0,0,0.2212,0.1329
9,5,3,2026,4.0,20.0,25.0,9.359,21.803,64.672,0.8033,0.314,0.488,1.58,1.755,0.0,0.0,0,0.2196,0.1403
10,5,3,2026,4.0,20.0,25.0,11.26,21.376,266.954,0.5788,1.73,1.608,1.006,0.884,0.0,0.0,0,0.2126,0.117
11,5,3,2026,4.0,20.0,25.0,12.215,21.613,398.544,0.3289,2.336,2.0,0.994,0.658,0.0,0.0,0,0.2199,0.1302
12,5,3,2026,4.0,20.0,25.0,14.011,21.463,541.531,0.1712,3.233,0.992,0.501,0.0,0.0,1.652,0,0.2114,0.1302
13,5,3,2026,4.0,20.0,25.0,16.15,22.055,513.813,0.1152,3.263,1.074,0.729,0.0,0.0,3.039,0,0.2138,0.1316
14,5,3,2026,4.0,20.0,25.0,17.441,22.212,527.488,0.3351,3.184,1.157,0.459,0.0,0.0,4.528,0,0.2196,0.136
15,5,3,2026,4.0,20.0,25.0,18.919,22.572,454.289,0.2253,2.676,0.1,1.148,0.0,0.0,5.885,0,0.2189,0.1264
16,5,3,2026,4.0,20.0,25.0,18.569,22.194,303.13,0.2455,1.621,1.38,0.542,0.0,0.0,5.568,0,0.2175,0.1299
17,5,3,2026,4.0,20.0,25.0,19.51,21.771,288.196,0.6809,1.733,1.42,1.038,0.0,0.0,4.805,0,0.2177,0.1283
18,5,3,2026,4.0,20.0,25.0,18.148,21.779,135.388,0.8859,0.804,1.346,1.389,0.0,0.0,2.772,0,0.179,0.1139
19,5,3,2026,4.0,20.0,25.0,16.852,21.081,14.07,0.761,0.022,1.454,1.589,0.388,0.0,0.0,0,0.1772,0.1056
20,5,3,2026,4.0,20.0,25.0,17.076,20.606,35.992,0.6522,0.309,1.391,1.41,2.493,0.0,0.0,1,0.1575,0.0946
21,5,3,2026,4.0,20.0,25.0,14.392,21.208,73.362,0.5331,0.311,0.1,1.201,0.99,0.0,0.0,0,0.1619,0.0981
22,5,3,2026,4.0,20.0,25.0,12.902,20.63,0.0,0.4415,0.0,0.1,1.013,1.113,0.0,0.0,0,0.1841,0.1039
23,5,3,2026,4.0,20.0,25.0,13.556,20.302,0.0,0.2095,0.0,2.138,0.295,2.433,0.0,0.0,1,0.1851,0.1137
