heure,jour,mois,annee,tfrigo,Tmin,Tmax,Tout_reel,Tin_reel,G,alpha_presence_reel,PV_reel,Pfixe,Pflex_reel,Pin,Pgo,Ebat,S,Cbuy_reel,Csell_reel
0,1,3,2026,4.0,20.0,25.0,8.371,19.04,21.904,0.1095,0.136,1.243,0.713,0.0,0.0,4.083,0,0.2124,0.1302
1,1,3,2026,4.0,20.0,25.0,8.475,19.749,0.0,0.0386,0.0,1.015,0.086,0.0,0.0,2.924,0,0.1908,0.113
2,1,3,2026,4.0,20.0,25.0,7.09,20.177,0.0,0.1578,0.0,1.095,0.508,0.0,0.0,1.236,0,0.2051,0.1272
3,1,3,2026,4.0,20.0,25.0,6.664,19.861,22.42,0.0401,0.213,1.14,0.003,0.0,0.0,0.257,0,0.2206,0.1357
4,1,3,2026,4.0,20.0,25.0,5.206,19.98,0.0,0.0,0.0,1.285,0.088,1.129,0.0,0.0,0,0.1951,0.1093
5,1,3,2026,4.0,20.0,25.0,6.98,19.47,11.761,0.1916,0.0,1.263,0.39,1.653,0.0,0.0,0,0.2377,0.1429
6,1,3,2026,4.0,20.0,25.0,5.912,21.079,0.0,0.3402,0.105,1.238,0.499,1.632,0.0,0.0,0,0.2266,0.129
7,1,3,2026,4.0,20.0,25.0,5.344,20.701,0.0,0.6991,0.099,0.879,1.286,2.067,0.0,0.0,1,0.2025,0.1192
8,1,3,2026,4.0,20.0,25.0,4.451,20.462,37.324,1.0,0.177,1.221,1.981,3.025,0.0,0.0,1,0.2212,0.1329
9,1,3,2026,4.0,20.0,25.0,5.959,21.803,0.0,0.8033,0.0,1.128,1.58,2.708,0.0,0.0,1,0.2196,0.1403
10,1,3,2026,4.0,20.0,25.0,7.56,21.376,73.954,0.5788,0.572,1.224,1.006,1.658,0.0,0.0,0,0.2126,0.117
11,1,3,2026,4.0,20.0,25.0,8.615,21.613,286.144,0.3289,1.662,1.438,0.994,0.77,0.0,0.0,0,0.2199,0.1302
12,1,3,2026,4.0,20.0,25.0,10.311,21.463,430.831,0.1712,2.569,1.201,0.501,0.0,0.0,0.823,0,0.2114,0.1302
13,1,3,2026,4.0,20.0,25.0,11.85,22.055,419.813,0.1152,2.699,1.08,0.729,0.0,0.0,1.668,0,0.1688,0.1046
14,1,3,2026,4.0,20.0,25.0,12.041,22.212,323.188,0.3351,1.958,1.143,0.459,0.0,0.0,2.006,0,0.1746,0.109
15,1,3,2026,4.0,20.0,25.0,13.119,22.572,308.989,0.2253,1.804,0.701,1.148,0.0,0.0,1.959,0,0.1739,0.0994
16,1,3,2026,4.0,20.0,25.0,13.269,22.194,246.83,0.2455,1.283,1.159,0.542,0.0,0.0,1.519,0,0.1725,0.1029
17,1,3,2026,4.0,20.0,25.0,13.91,21.771,229.196,0.6809,1.379,1.177,1.038,0.0,0.0,0.64,0,0.1727,0.1013
18,1,3,2026,4.0,20.0,25.0,12.648,21.779,72.688,0.8859,0.427,1.052,1.389,1.405,0.0,0.0,0,0.179,0.1139
19,1,3,2026,4.0,20.0,25.0,12.252,21.081,6.37,0.761,0.0,1.165,1.589,2.755,0.0,0.0,1,0.1772,0.1056
20,1,3,2026,4.0,20.0,25.0,12.676,20.606,35.992,0.6522,0.309,1.1,1.41,2.202,0.0,0.0,1,0.1575,0.0946
21,1,3,2026,4.0,20.0,25.0,10.192,21.208,73.362,0.5331,0.311,0.969,1.201,1.859,0.0,0.0,1,0.1619,0.0981
22,1,3,2026,4.0,20.0,25.0,8.902,20.63,0.0,0.4415,0.0,0.903,1.013,1.917,0.0,0.0,1,0.2291,0.1309
23,1,3,2026,4.0,20.0,25.0,9.556,20.302,0.0,0.2095,0.0,1.33,0.295,1.625,0.0,0.0,0,0.2301,0.1407
