heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,23,3,2026,9.7,19.767,0.0,0.0487,0.0,0.103,0.003,0.2146,0.1288
1,23,3,2026,9.2,19.656,0.0,0.0317,0.0,0.1,0.086,0.2146,0.1288
2,23,3,2026,8.6,19.833,0.0,0.043,0.0,0.1,0.003,0.2146,0.1288
3,23,3,2026,7.8,19.836,0.0,0.0668,0.0,0.101,0.003,0.2146,0.1288
4,23,3,2026,7.4,19.977,0.0,0.0346,0.0,0.103,0.087,0.2146,0.1288
5,23,3,2026,7.1,20.188,0.0,0.122,0.0,0.103,0.601,0.2146,0.1288
6,23,3,2026,6.8,20.885,0.0,0.562,0.0,0.103,1.13,0.2146,0.1288
7,23,3,2026,6.5,20.562,0.5,0.7372,0.0,0.101,1.926,0.2146,0.1288
8,23,3,2026,7.0,20.872,63.0,0.8217,0.0,0.767,1.754,0.2146,0.1288
9,23,3,2026,8.1,21.133,212.5,0.8012,0.001,0.594,1.583,0.2146,0.1288
10,23,3,2026,10.1,21.804,386.2,0.5502,0.002,1.445,1.061,0.2146,0.1288
11,23,3,2026,11.8,22.201,527.2,0.405,0.003,1.667,1.047,0.1696,0.1018
12,23,3,2026,13.7,22.097,629.0,0.1731,0.004,1.006,0.835,0.1696,0.1018
13,23,3,2026,15.7,22.046,672.8,0.1266,0.004,1.058,0.729,0.1696,0.1018
14,23,3,2026,16.3,22.094,663.8,0.1864,0.004,1.075,0.601,0.1696,0.1018
15,23,3,2026,16.8,22.418,579.8,0.3061,0.003,0.1,1.145,0.1696,0.1018
16,23,3,2026,16.9,22.312,480.8,0.4664,0.003,1.187,1.057,0.1696,0.1018
17,23,3,2026,16.7,22.055,356.5,0.6484,0.002,1.228,1.038,0.1696,0.1018
18,23,3,2026,16.4,21.484,197.5,0.7619,0.001,1.318,1.586,0.1696,0.1018
19,23,3,2026,15.7,21.395,55.8,0.8161,0.0,1.32,1.586,0.1696,0.1018
20,23,3,2026,14.8,21.029,0.0,0.7981,0.0,1.32,1.586,0.2146,0.1288
21,23,3,2026,13.9,20.718,0.0,0.6189,0.0,0.362,1.137,0.2146,0.1288
22,23,3,2026,13.0,20.568,0.0,0.4068,0.0,0.336,1.348,0.2146,0.1288
23,23,3,2026,12.5,20.137,0.0,0.2545,0.0,1.895,0.301,0.2146,0.1288
0,1,3,2026,8.2,19.767,0.0,0.0487,0.0,0.1,0.033,0.1696,0.1018
1,1,3,2026,8.0,19.656,0.0,0.0317,0.0,0.1,0.091,0.1696,0.1018
2,1,3,2026,7.5,19.833,0.0,0.043,0.0,0.1,0.029,0.1696,0.1018
3,1,3,2026,7.3,19.836,0.0,0.0668,0.0,0.1,0.01,0.1696,0.1018
4,1,3,2026,6.6,19.977,0.0,0.0346,0.0,0.101,0.073,0.1696,0.1018
5,1,3,2026,6.3,20.188,0.0,0.122,0.0,0.113,0.577,0.2146,0.1288
6,1,3,2026,5.9,20.885,0.0,0.562,0.0,0.132,1.208,0.2146,0.1288
7,1,3,2026,5.2,20.562,0.0,0.7372,0.0,0.145,1.722,0.2146,0.1288
8,1,3,2026,5.0,20.872,3.5,0.8217,0.0,0.682,1.714,0.2146,0.1288
9,1,3,2026,5.1,21.133,38.8,0.8012,0.0,0.667,1.685,0.2146,0.1288
10,1,3,2026,6.9,21.804,65.8,0.5502,0.0,0.89,1.085,0.2146,0.1288
11,1,3,2026,8.7,22.201,283.8,0.405,0.002,0.885,0.999,0.2146,0.1288
12,1,3,2026,10.7,22.097,386.5,0.1731,0.002,1.428,0.748,0.2146,0.1288
13,1,3,2026,12.1,22.046,459.0,0.1266,0.003,1.414,0.765,0.2146,0.1288
