heure,jour,mois,annee,Tout,Tin,G,alpha_presence_predit,PV,Pfixe_predit,Pflex_predit,Cbuy_predit,Csell_predit
0,12,3,2026,5.152,19.767,16.973,0.0008,0.102,1.486,0.251,0.1696,0.1018
1,12,3,2026,4.684,19.656,1.689,0.0446,0.01,1.5,0.316,0.1696,0.1018
2,12,3,2026,6.179,19.833,7.228,0.0386,0.043,1.455,0.308,0.1696,0.1018
3,12,3,2026,7.228,19.836,15.782,0.0686,0.095,1.423,0.352,0.2146,0.1288
4,12,3,2026,7.024,19.977,0.0,0.0654,0.0,1.429,0.348,0.2146,0.1288
5,12,3,2026,8.796,20.188,0.0,0.1364,0.0,1.197,0.455,0.2146,0.1288
6,12,3,2026,11.064,20.885,0.0,0.5949,0.0,1.128,1.142,0.2146,0.1288
7,12,3,2026,12.395,20.562,105.83,0.7471,0.635,1.088,1.371,0.2146,0.1288
8,12,3,2026,13.992,20.872,217.538,0.8437,1.305,1.04,1.516,0.2146,0.1288
9,12,3,2026,14.816,21.133,407.375,0.7365,2.444,1.016,1.355,0.2146,0.1288
10,12,3,2026,16.636,21.804,524.232,0.5652,3.145,0.961,1.098,0.2146,0.1288
11,12,3,2026,17.184,22.201,744.871,0.3645,4.469,0.945,0.797,0.2146,0.1288
12,12,3,2026,17.033,22.097,809.292,0.1877,4.856,0.949,0.53,0.2146,0.1288
13,12,3,2026,17.359,22.046,891.628,0.1513,5.35,0.939,0.478,0.2146,0.1288
14,12,3,2026,16.43,22.094,855.432,0.1674,5.133,0.967,0.501,0.2146,0.1288
15,12,3,2026,14.813,22.418,735.319,0.2889,4.412,1.016,0.683,0.2146,0.1288
16,12,3,2026,14.184,22.312,563.658,0.4595,3.382,1.034,0.94,0.2146,0.1288
17,12,3,2026,12.073,22.055,389.835,0.638,2.339,1.098,1.209,0.2146,0.1288
18,12,3,2026,11.439,21.484,215.699,0.7923,1.294,1.117,1.438,0.1696,0.1018
19,12,3,2026,9.422,21.395,110.243,0.827,0.661,1.177,1.491,0.1696,0.1018
20,12,3,2026,7.908,21.029,21.449,0.7596,0.129,1.223,1.389,0.1696,0.1018
21,12,3,2026,6.417,20.718,0.0,0.6222,0.0,1.267,1.183,0.1696,0.1018
22,12,3,2026,6.415,20.568,0.0,0.3944,0.0,1.267,0.843,0.1696,0.1018
23,12,3,2026,5.127,20.137,0.0,0.2451,0.0,1.306,0.618,0.1696,0.1018
